absolute_path	relative_path	repo_name	file_size_bytes	extension	line_count	detected_encoding	filename_signals	guessed_lang	guessed_data_type	include_in_cpt_v1_candidate	reason
/home/zc/wmt26/data/raw/official/WMT22_UnsupVeryLowResMT_Data/40194_train_dsb_de.de.gz	40194_train_dsb_de.de.gz	WMT22_UnsupVeryLowResMT_Data	1314449	.de.gz	40194	utf-8	train	deu	unknown	False	not confidently classifiable for CPT v1
/home/zc/wmt26/data/raw/official/WMT22_UnsupVeryLowResMT_Data/40194_train_dsb_de.dsb.gz	40194_train_dsb_de.dsb.gz	WMT22_UnsupVeryLowResMT_Data	1296839	.dsb.gz	40194	utf-8	train	dsb	unknown	False	not confidently classifiable for CPT v1
/home/zc/wmt26/data/raw/official/WMT22_UnsupVeryLowResMT_Data/66408_DSB_monolingual.txt.gz	66408_DSB_monolingual.txt.gz	WMT22_UnsupVeryLowResMT_Data	2454791	.txt.gz	66408	utf-8	monolingual	dsb	train_mono	True	explicit hsb/dsb monolingual train source
/home/zc/wmt26/data/raw/official/WMT22_UnsupVeryLowResMT_Data/8815_DSB_wikipedia_2021.txt.gz	8815_DSB_wikipedia_2021.txt.gz	WMT22_UnsupVeryLowResMT_Data	259490	.txt.gz	8815	utf-8-with-replacement		dsb	train_mono	True	explicit hsb/dsb monolingual train source
/home/zc/wmt26/data/raw/official/WMT22_UnsupVeryLowResMT_Data/HSB-DE_dev.tsv.gz	HSB-DE_dev.tsv.gz	WMT22_UnsupVeryLowResMT_Data	153401	.tsv.gz	2001	utf-8	dev	hsb	heldout	False	path/name contains heldout signal
/home/zc/wmt26/data/raw/official/WMT22_UnsupVeryLowResMT_Data/HSB-DE_train.tsv.gz	HSB-DE_train.tsv.gz	WMT22_UnsupVeryLowResMT_Data	23532914	.tsv.gz	301537	utf-8	train	hsb	unknown	False	not confidently classifiable for CPT v1
/home/zc/wmt26/data/raw/official/WMT22_UnsupVeryLowResMT_Data/HSB_monolingual.txt.gz	HSB_monolingual.txt.gz	WMT22_UnsupVeryLowResMT_Data	18002489	.txt.gz	436579	utf-8	monolingual	hsb	train_mono	True	explicit hsb/dsb monolingual train source
/home/zc/wmt26/data/raw/official/WMT22_UnsupVeryLowResMT_Data/README.md	README.md	WMT22_UnsupVeryLowResMT_Data	4386	.md	58	utf-8	readme	unknown	metadata	False	readme/license/metadata
/home/zc/wmt26/data/raw/official/WMT22_UnsupVeryLowResMT_Data/devtest.dsb-de.tgz	devtest.dsb-de.tgz	WMT22_UnsupVeryLowResMT_Data	77458	.tgz				dsb	heldout	False	path/name contains heldout signal
/home/zc/wmt26/data/raw/official/WMT22_UnsupVeryLowResMT_Data/devtest.tar.gz	devtest.tar.gz	WMT22_UnsupVeryLowResMT_Data	268056	.tar.gz				unknown	heldout	False	path/name contains heldout signal
/home/zc/wmt26/data/raw/official/WMT22_UnsupVeryLowResMT_Data/devtest_dsb_hsb_2022.tar.gz	devtest_dsb_hsb_2022.tar.gz	WMT22_UnsupVeryLowResMT_Data	71377	.tar.gz				hsb	heldout	False	path/name contains heldout signal
/home/zc/wmt26/data/raw/official/WMT22_UnsupVeryLowResMT_Data/mono.dsb.gz	mono.dsb.gz	WMT22_UnsupVeryLowResMT_Data	5952481	.dsb.gz	145198	utf-8	mono	dsb	train_mono	True	explicit hsb/dsb monolingual train source
/home/zc/wmt26/data/raw/official/WMT22_UnsupVeryLowResMT_Data/sorbian_institute_monolingual.hsb.gz	sorbian_institute_monolingual.hsb.gz	WMT22_UnsupVeryLowResMT_Data	16070876	.hsb.gz	339822	utf-8-with-replacement	monolingual	hsb	train_mono	True	explicit hsb/dsb monolingual train source
/home/zc/wmt26/data/raw/official/WMT22_UnsupVeryLowResMT_Data/train.hsb-de.de.gz	train.hsb-de.de.gz	WMT22_UnsupVeryLowResMT_Data	1988745	.de.gz	60000	utf-8	train	deu	unknown	False	not confidently classifiable for CPT v1
/home/zc/wmt26/data/raw/official/WMT22_UnsupVeryLowResMT_Data/train.hsb-de.hsb.gz	train.hsb-de.hsb.gz	WMT22_UnsupVeryLowResMT_Data	1908363	.hsb.gz	60000	utf-8	train	hsb	unknown	False	not confidently classifiable for CPT v1
/home/zc/wmt26/data/raw/official/WMT22_UnsupVeryLowResMT_Data/train2021.hsb-de.de.gz	train2021.hsb-de.de.gz	WMT22_UnsupVeryLowResMT_Data	3488635	.de.gz	87521	utf-8		deu	unknown	False	not confidently classifiable for CPT v1
